Chemical,logS,deltaD,deltaP,deltaH,deltaHDon,deltaHAcc,MWt,Density,MVol,Area,Ovality,LogKow,RI,DHfus,EdmiW,Parachor,RD,DCp,logEta,Conductivity,SurfTen,HeavyAtom,MCI,Distance,Tm,Ar-sp3,CSA,PSA
ppBPh,1.942426222,20.68,6.58,13.46,12.3,6.8,186.2,1.195,155.8,213.82,1.527,2.64,1.648,29.78,0.633,265.2,56.67,374,3.603,170.1,51.4,14,6.754,5.31,560.12,12,180.664,40.46
PRL,1.227705624,20.86,0.12,4.82,0.8,5.5,252.3,1.167,216.1,254.85,1.463,6.61,1.595,37.25,0.423,561,73.49,393.6,2.357,170.1,71.7,20,9.933,7.62,553.35,20,231.899,0
PTZ,0.827730586,20.82,7.28,7,4.2,4.6,199.3,1.285,155.1,208.26,1.492,4.15,1.68,25.7,0.578,403.2,58.6,264.9,1.361,152.5,62.5,14,6.933,4.69,461.95,12,180.721,12.03
PYR,0.861264274,22.28,4.64,5.62,2.6,5.3,202.2,1.263,160.1,213.47,1.497,5.05,1.734,17.36,0.553,431.6,64.17,252.4,0.942,148.7,62.4,16,7.933,4.11,426.35,16,194.228,0
QRC,1.350951808,21.02,10.6,13.73,10.7,8.8,302.2,1.375,219.8,297.67,1.69,1.03,1.631,42.16,0.85,329.1,78.29,1204.5,111.303,185.3,120.1,22,10.38,7.36,598.45,16,241.44,127.45
QZB,1.89335,21.35,10.47,9.29,9.2,5.5,329.3,1.381,238.6,340.67,1.832,5.05,1.657,48.34,0.564,645.8,87.72,498.8,6.709,179.2,114.4,25,12.059,5.78,466.65,17,282.268,66.4
QZGSS,1.08646079,21.5,8.95,6.23,6.3,3.9,418.5,1.347,310.6,450.05,2.03,6.55,1.693,51.47,0.424,931.3,119.13,1435.1,149.556,205.9,215.7,32,15.508,5.49,492.33,22,369.914,58.2
RSA,2.009063152,20.43,6.61,10.98,9.2,6.3,290.3,1.199,242.1,311.76,1.66,3.68,1.586,43.37,0.618,474.9,81.19,760.3,11.336,183.3,60.9,22,10.631,4.41,416.71,12,267.334,57.53
S4,1.580635366,18.12,4.93,7.51,0.6,4.9,294.3,1.179,249.7,339.79,1.772,2.02,1.545,27.86,0.675,630.1,78.9,603.6,3.704,158,44.7,21,10.011,8.84,397.95,1,276.061,71.06
SUBB,2.084825472,21.92,7.35,5.16,4.6,3,456.5,1.28,356.7,478.26,1.967,9.63,1.619,32.77,0.108,895.1,125.11,1950,219.101,192,192.4,35,17.072,5.16,376.68,23,410.77,73.5
